taxlevel,rankID,taxon,daughterlevels,total,DnaStdA_S163,DnaStdB_S164,DnaStdC_S165,ENAug25a_S91,ENAug25b_S92,ENAug25c_S93,EPAug25a_S88,EPAug25b_S89,EPAug25c_S90,EPMay7a_S160,EPMay7b_S161,EPMay7c_S162,V10a_S28,V10b_S29,V10c_S30,V11a_S31,V11b_S32,V11c_S33,V12a_S34,V12b_S35,V12c_S36,V13a_S37,V13b_S38,V13c_S39,V14a_S40,V14b_S41,V14c_S42,V15a_S43,V15b_S44,V15c_S45,V16a_S46,V16b_S47,V16c_S48,V17a_S49,V17b_S50,V17c_S51,V01a_S1,V01b_S2,V01c_S3,V20a_S58,V20b_S59,V20c_S60,V21a_S61,V21b_S62,V21c_S63,V22a_S64,V22b_S65,V22c_S66,V23a_S67,V23b_S68,V23c_S69,V25a_S73,V25b_S74,V25c_S75,V27a_S79,V27b_S80,V27c_S81,V28a_S82,V28b_S83,V28c_S84,V02a_S4,V02b_S5,V02c_S6,V30a_S94,V30b_S95,V30c_S96,V31a_S97,V31b_S98,V31c_S99,V32a_S100,V32b_S101,V32c_S102,V03a_S7,V03b_S8,V03c_S9,V04a_S10,V04b_S11,V04c_S12,V05a_S13,V05b_S14,V05c_S15,V06a_S16,V06b_S17,V06c_S18,V07a_S19,V07b_S20,V07c_S21,V08a_S22,V08b_S23,V08c_S24
0,0,Root,1,241010,1478,1272,2383,510,135,745,307,471,988,996,1026,1223,1387,2212,2196,1861,1829,2556,685,573,644,1335,785,641,2331,3218,2626,1475,2273,3037,2134,3054,3281,1856,411,1156,471,315,345,781,803,706,2397,1781,1821,3,1,5,931,689,1135,3013,1890,1757,1460,1175,1347,3293,3794,3906,1334,1437,1048,4743,845,4303,4301,3370,5124,4549,3411,5627,114,59,110,107,114,164,809,580,612,2123,1145,2372,104,44,71,66,97,117
1,0.1,Bacteria,17,241010,1478,1272,2383,510,135,745,307,471,988,996,1026,1223,1387,2212,2196,1861,1829,2556,685,573,644,1335,785,641,2331,3218,2626,1475,2273,3037,2134,3054,3281,1856,411,1156,471,315,345,781,803,706,2397,1781,1821,3,1,5,931,689,1135,3013,1890,1757,1460,1175,1347,3293,3794,3906,1334,1437,1048,4743,845,4303,4301,3370,5124,4549,3411,5627,114,59,110,107,114,164,809,580,612,2123,1145,2372,104,44,71,66,97,117
2,0.1.1,Acidobacteria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.1.1.1,Acidobacteria_Gp4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1.1.1.1,Blastocatella,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1.1.1.1.1,Blastocatella_unclassified,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1.1.1.1.1.1,Blastocatella_unclassified,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.1.10,Gemmatimonadetes,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.1.10.1,Gemmatimonadetes,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1.10.1.1,Gemmatimonadales,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
