UniProt Accession ID,Description,Gene,V08,V28,NV1,V15L,V31,NV2,V14,V6L,V15,V23,V1O,V16,V11,V9L,V01,V22,V04,V25,V07,V10,V17,NV6,NV4,V1L,V13,V21,V6L,V12,V30,NV7,V05,V20,V03,V32,V06,V27,V02
1433B_HUMAN,14-3-3 protein beta/alpha,YWHAB,82282.05332,119422.4883,2384398.895,1363081.695,191053.1715,378490.5665,270337.836,425597.1847,258054.8647,627073.7901,128646.4328,98079.3583,307112.2621,1335691.466,442294.3608,311252.4189,531876.4399,509471.2371,935021.6636,324395.7574,1903974.276,1495036.189,1238042.341,3973005.356,352014.8077,236949.6277,497212.9082,326594.1983,197582.9041,1681810.496,882442.0274,1822034.839,1096071.239,446280.0597,810466.4759,1851039.466,3245601.015
1433E_HUMAN,14-3-3 protein epsilon,YWHAE,230754.8494,876558.6688,11125975.96,2750542.608,385312.9581,1969660.137,566328.8612,293933.7333,387246.6195,487018.0288,560645.1317,1020570.48,774580.9217,1353284.708,660759.318,466423.1355,805250.8527,1584035.213,2324142.473,630374.3908,570548.7328,3367835.584,1660348.123,546775.6215,253652.7361,839597.1481,828057.7122,390990.9425,308682.6867,665288.7117,1005640.775,2658374.402,1705288.752,976876.0243,1998266.86,3221508.57,4697783.185
1433F_HUMAN,14-3-3 protein eta,YWHAH,88985.0373,18769.30824,480278.1966,75179.71762,53374.41005,432542.9571,80799.16224,104952.0228,20603.3944,80025.48838,37618.18115,35541.92807,6076.553381,425199.141,29535.70002,51105.57337,299616.7836,47776.22831,667873.4537,23331.93976,376206.3568,581855.72,273125.8323,21622.05001,34471.72192,73213.52032,149729.3644,288491.0015,75508.35644,171610.7796,109443.1343,275807.5385,100614.5711,60789.96609,46054.0047,164271.723,312338.6092
1433G_HUMAN,14-3-3 protein gamma,YWHAG,772857.3055,63036.50903,1981320.976,619670.2579,88427.60976,1721.735835,2850.224066,130052.8129,26089.95686,59632.45468,78535.33497,36409.89003,158887.5302,499333.1425,103138.3074,74554.19319,2041172.371,123552.4579,105845.3366,50251.48642,232068.6737,1301884.256,59292.42703,2767.732037,152489.792,91943.32779,207330.7678,135076.553,29711.91136,302953.7442,145667.2947,263838.6787,164340.2175,88473.79078,141750.2343,666744.2022,418915.0845
1433S_HUMAN,14-3-3 protein sigma,SFN,341296.8023,600308.507,52053610.27,956660.0371,4092890.051,752913.4093,883906.3295,1023865.362,623806.0568,1953005.691,1441930.43,1160448.545,4164878.347,3806676.715,4057989.072,4241646.97,776622.4812,4275320.48,4626260.231,1599276.998,809406.3684,2495259.149,4386765.001,595459.9325,635428.9912,4215873.93,3123450.697,562571.322,4586453.538,5325734.548,2797351.169,32267699.1,9632903.882,2435106.475,8093825.725,10642999.74,13639090.07
1433T_HUMAN,14-3-3 protein theta,YWHAQ,1311245.097,1161809.001,2960791.692,161826.9119,1730926.732,33802.84946,119034.9261,1417364.258,180039.5999,694131.0295,47876.37814,242090.8163,235642.9822,212236.1892,603732.2885,1577775.476,218055.1028,554169.5099,282285.5346,42670.11687,226481.1845,611211.8948,260845.0554,165231.4587,544174.1762,2483325.563,308049.196,351372.5453,156398.3311,323316.6978,241110.2369,1175779.734,170068.0617,788937.7419,385730.3503,2156110.03,994987.2762
1433Z_HUMAN,14-3-3 protein zeta/delta,YWHAZ,414546.7694,436877.7771,20441991.26,2387573.339,2136429.725,517475.0304,94040.28878,275523.0585,355535.7036,1285506.115,1979002.613,349050.6354,858913.4285,2529636.566,2543881.002,1137067.812,1316356.169,1522791.416,2144330.545,1729507.808,2277002.863,9095305.24,1075382.828,200364.6334,587452.9371,1733611.207,2891015.338,624260.4259,674597.5273,3305204.622,2282614.201,9686585.966,1537543.815,1886485.669,1850181.16,6744199.517,10592449.01
2AAA_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,17965.20176,35452.11968,216895.8168,123011.6564,35508.17952,135610.5607,16727.96899,17405.63669,131565.4682,161731.9228,32918.76316,20874.09314,7977.526175,14990.34576,72108.2303,14014.80846,14234.02368,31515.6838,19069.09139,235348.3248,338589.8861,91782.86693,24425.11613,1745682.922,32803.09554,12310.91385,62994.8835,24545.83299,25717.46658,28837.90485,19923.55773,255484.9946,27549.93257,72031.87065,520633.2501,190709.7007,103427.4738
3HIDH_HUMAN,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,95747.4192,11865.09345,42769.11602,3631.611212,6780.97287,475.6942459,5054.49418,18692.4335,502141.4146,37573.14384,78597.49103,28606.49645,1442.699112,20436.73547,46726.94853,74492.96711,112541.6777,13854.12615,35110.77895,70259.62258,1489330.638,207021.4293,170834.3089,958970.7243,2106885.684,311047.3399,273285.8534,69557.46872,34750.70948,73590.1081,29887.33467,122162.1658,7888.742855,322562.0623,191290.5088,35640.84568,361158.0125
5NT3A_HUMAN,Cytosolic 5'-nucleotidase 3A,NT5C3A,40063.77231,80992.32887,3805.161461,8789.49777,6292.866602,417997.5876,112863.1623,10858.64922,8751.414501,81555.80905,233.0497114,4615.075765,5314.864054,12069.33294,6542.054388,12770.21004,6788.69028,12573.06161,1049.79997,1486.10958,19399.0815,193117.2647,2996.251124,1156.690851,8275.554002,17160.03792,13018.97313,27305.0206,2709.33947,4766.4501,14486.07526,101279.6751,18348.43477,3041.175808,1019.81349,46801.1579,6494.867622
