# Constructed from biom file,,,,,,,,
#OTU ID,taxonomy,V9L,V1O,V1L,V6O,V6L,Water control 1,Water control 2
1550523,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505749,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4449702,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134726,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.0,3.0,2.0,0.0,0.0,0.0,0.0
925326,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220097,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134049,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130468,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,1.0,4.0,5.0,9.0,32.0,0.0,0.0
934489,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__,0.0,0.0,0.0,6.0,0.0,0.0,0.0
495079,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125794,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2792266,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177222,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302041,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469488,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199106,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484444,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__coleohominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359086,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__; s__,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130864,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4424252,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276367,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__veronii,16.0,1.0,7.0,0.0,0.0,10.0,40.0
1888516,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986574,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092867,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196986,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4349519,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4314052,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851634,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
